INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
eil51.tsp      GRASP          30-0.25-5      435.5131       49.2585     2.2331      51        1275      
eil51.tsp      GRASP          30-0.5-5       435.2683       45.8911     2.1757      51        1275      
eil51.tsp      GRASP          30-0.75-5      434.7956       35.0870     2.0647      51        1275      
eil51.tsp      GRASP          90-0.25-5      431.1140       116.7964    1.2005      51        1275      
eil51.tsp      GRASP          90-0.5-5       431.1037       129.4520    1.1981      51        1275      
eil51.tsp      GRASP          90-0.75-5      433.9982       110.9897    1.8775      51        1275      
eil51.tsp      GRASP          160-0.25-5     431.1140       163.3849    1.2005      51        1275      
eil51.tsp      GRASP          160-0.5-5      433.7332       218.1698    1.8153      51        1275      
eil51.tsp      GRASP          160-0.75-5     428.8718       207.9859    0.6741      51        1275      
eil51.tsp      GRASP          60-0.25-5      435.9280       35.2650     2.3305      51        1275      
eil51.tsp      GRASP          60-0.5-5       433.1590       45.5640     1.6805      51        1275      
eil51.tsp      GRASP          60-0.75-5      434.6795       49.4110     2.0374      51        1275      
