INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
rat99.tsp      GRASP          30-0.25-5      1244.8174      450.3931    2.7925      99        4851      
rat99.tsp      GRASP          30-0.5-5       1259.5442      576.0398    4.0086      99        4851      
rat99.tsp      GRASP          30-0.75-5      1252.2483      627.7744    3.4061      99        4851      
rat99.tsp      GRASP          90-0.25-5      1246.8124      1280.0750   2.9573      99        4851      
rat99.tsp      GRASP          90-0.5-5       1236.4932      1696.3480   2.1051      99        4851      
rat99.tsp      GRASP          90-0.75-5      1247.7813      1874.3998   3.0373      99        4851      
rat99.tsp      GRASP          160-0.25-5     1247.5235      2290.5279   3.0160      99        4851      
rat99.tsp      GRASP          60-0.25-5      1251.6999      851.5850    3.3608      99        4851      
rat99.tsp      GRASP          60-0.5-5       1246.3021      1100.9790   2.9151      99        4851      
rat99.tsp      GRASP          60-0.75-5      1257.2737      1213.8400   3.8211      99        4851      
