INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
eil76.tsp      GRASP          30-0.25-5      562.8030       158.6287    4.6102      76        2850      
eil76.tsp      GRASP          30-0.5-5       560.3221       192.4507    4.1491      76        2850      
eil76.tsp      GRASP          30-0.75-5      556.7489       234.5876    3.4849      76        2850      
eil76.tsp      GRASP          90-0.25-5      560.4130       588.7782    4.1660      76        2850      
eil76.tsp      GRASP          90-0.5-5       562.7185       590.3646    4.5945      76        2850      
eil76.tsp      GRASP          90-0.75-5      556.2500       685.5643    3.3922      76        2850      
eil76.tsp      GRASP          160-0.25-5     558.7731       918.5646    3.8612      76        2850      
eil76.tsp      GRASP          160-0.5-5      557.3449       878.9408    3.5957      76        2850      
eil76.tsp      GRASP          160-0.75-5     556.6214       738.4375    3.4612      76        2850      
eil76.tsp      GRASP          60-0.25-5      562.5447       195.8047    4.5622      76        2850      
eil76.tsp      GRASP          60-0.5-5       559.9878       223.5791    4.0870      76        2850      
eil76.tsp      GRASP          60-0.75-5      559.9601       244.7670    4.0818      76        2850      
