INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
pr76.tsp       GRASP          30-0.25-5      108307.8898    144.7610    0.1377      76        2850      
pr76.tsp       GRASP          30-0.5-5       109383.0421    340.0731    1.1317      76        2850      
pr76.tsp       GRASP          30-0.75-5      109575.8881    336.9211    1.3100      76        2850      
pr76.tsp       GRASP          90-0.25-5      108901.0125    578.3896    0.6860      76        2850      
pr76.tsp       GRASP          90-0.5-5       109056.1713    527.3960    0.8295      76        2850      
pr76.tsp       GRASP          90-0.75-5      109480.0503    555.3380    1.2214      76        2850      
pr76.tsp       GRASP          160-0.25-5     108634.4272    747.9340    0.4396      76        2850      
pr76.tsp       GRASP          160-0.5-5      109126.8951    1015.9685   0.8949      76        2850      
pr76.tsp       GRASP          160-0.75-5     109002.0679    962.6621    0.7795      76        2850      
pr76.tsp       GRASP          60-0.25-5      108988.3074    269.1710    0.7667      76        2850      
pr76.tsp       GRASP          60-0.5-5       109236.7104    322.9050    0.9964      76        2850      
pr76.tsp       GRASP          60-0.75-5      109536.5731    366.0810    1.2737      76        2850      
